,id,studentID,task_id,query,score,content,time_stamp,target,session_id,query_order,query_len,session_end,query_dwell_time,BEGIN_SEARCH_count,JUMP_IN_count,MOUSE_MOVE_count,JUMP_OUT_count,QUERY_REFORM_count,HOVER_count,CLICK_count,SCROLL_count,OVER_count,SEARCH_END_count,GOTO_PAGE_count,clicked_doc_count,query_relevance_count,query_key_count,task_relevance_count,task_key_count,query_nDCG3,query_nDCG5,query_nDCG10,task_nDCG3,task_nDCG5,task_nDCG10,query_precision3,query_precision5,query_precision10,task_precision3,task_precision5,task_precision10,num_of_click3,ave_query_relevant_score,ave_task_relevant_score,last_query,new_unique_query_terms_num,query_similarity,click_precision_query,click_precision_task,num_of_click5,num_of_click10,click_depth
0,196,1701110210,1, 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法,5,TIMESTAMP=1513066938596	USER=1701110210	TASK=1	QUERY= 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513066938596,1,65,1,49,0,27642.0,1,1,47,1,1,2,1,0,0,0,0,1,0,0,0,0,0.7318407279869963,0.749960456135003,0.8552043776289402,1.0,0.8489789197007893,0.9631142642757948,1.0,1.0,0.7,1.0,0.8,0.6,0,0.0,0.0,,1.0,0.0,0.0,0.0,0,0,0.0
1,197,1701110210,1, 适合新员工培训时采用 大约十人参与的破冰游戏的玩法,5,TIMESTAMP=1513066992770	USER=1701110210	TASK=1	QUERY= 适合新员工培训时采用 大约十人参与的破冰游戏的玩法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513066992770,1,65,2,26,1,34387.0,1,7,93,7,0,26,6,79,1,0,0,6,6,6,6,6,0.6967307005844323,0.739553577360618,0.9023516765737108,0.6967307005844323,0.6973515901634044,0.8995964062029795,1.0,1.0,1.0,1.0,1.0,1.0,1,2.3333333333333335,2.5, 十个新员工，近期需要进行新员工培训。请查找一个适合新员工培训时采用，大约十人参与的破冰游戏的玩法,0.0,0.6486486486486487,1.0,1.0,2,3,9.0
2,172,1701110210,2, 北京周边 短期游,4,TIMESTAMP=1513063113285	USER=1701110210	TASK=2	QUERY= 北京周边 短期游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4,1513063113285,1,60,1,9,0,111750.0,1,6,137,6,1,20,6,114,0,0,0,6,5,5,5,5,0.3615316105681777,0.5011618749567011,0.7861147284413853,0.8435737579924145,0.8869465982421278,0.96379739523448,1.0,1.0,1.0,1.0,1.0,1.0,2,2.4,2.0,,1.0,0.0,0.8333333333333334,0.8333333333333334,3,2,9.0
3,173,1701110210,2, 北京周边 短期度假 攻略,4,TIMESTAMP=1513063216303	USER=1701110210	TASK=2	QUERY= 北京周边 短期度假 攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4,1513063216303,1,60,2,13,0,91287.0,1,2,106,2,1,12,2,115,0,0,0,2,2,2,2,2,0.3972381424089924,0.7061986631341859,0.7776565303099282,0.4937009329118997,0.7108338529046629,0.7934871942269991,1.0,1.0,1.0,1.0,1.0,1.0,0,2.0,2.0, 北京周边 短期游,0.3333333333333333,0.5833333333333334,1.0,1.0,0,2,7.0
4,174,1701110210,2, 古北水镇 攻略,5,TIMESTAMP=1513063380190	USER=1701110210	TASK=2	QUERY= 古北水镇 攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513063380190,1,60,3,8,0,153939.0,1,1,61,1,1,6,1,64,0,0,0,1,1,1,1,1,0.5626510645779306,0.6089419728454368,0.8391141988408864,0.6871475159848289,0.7738931964842558,0.8910656901648331,1.0,1.0,1.0,1.0,1.0,1.0,0,3.0,2.0, 北京周边 短期度假 攻略,0.21428571428571427,0.2857142857142857,1.0,1.0,0,1,7.0
5,175,1701110210,2, 黄花城水长城 攻略,5,TIMESTAMP=1513063467320	USER=1701110210	TASK=2	QUERY= 黄花城水长城 攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513063467320,1,60,4,10,0,76303.0,1,2,57,2,1,6,2,97,0,0,0,2,2,2,2,2,0.7318407279869963,0.7312198384080238,0.8917615162115884,0.494931689324085,0.6876190593042905,0.8215330980013468,1.0,1.0,1.0,1.0,1.0,1.0,1,2.5,2.0, 古北水镇 攻略,0.36363636363636365,0.36363636363636365,1.0,1.0,2,0,4.0
6,176,1701110210,2,张裕酒庄 攻略,5,TIMESTAMP=1513063507180	USER=1701110210	TASK=2	QUERY=张裕酒庄 攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513063507180,1,60,5,7,0,28958.0,1,1,66,1,1,8,1,70,0,0,0,1,1,0,1,0,0.9225796957885676,0.8724697990477858,0.9585088272746262,0.842828264880938,0.8175244219900957,0.8547303533364321,1.0,1.0,0.9,1.0,0.8,0.8,1,1.0,1.0, 黄花城水长城 攻略,0.3333333333333333,0.25,1.0,1.0,1,0,2.0
7,177,1701110210,2,白洋淀 攻略,5,TIMESTAMP=1513063557169	USER=1701110210	TASK=2	QUERY=白洋淀 攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5,1513063557169,1,60,6,6,1,41170.0,1,2,92,2,0,12,2,67,1,0,0,2,2,2,2,2,0.8659203639934981,0.7906355891969594,0.9510785297191021,0.8046129061698147,0.7854509758300989,0.9276202591986634,1.0,1.0,0.8,1.0,1.0,0.8,2,2.5,2.0,张裕酒庄 攻略,0.3,0.3,1.0,1.0,2,0,3.0
8,167,1701110210,3, 死飞自行车 清华附近,3,TIMESTAMP=1513062141813	USER=1701110210	TASK=3	QUERY= 死飞自行车 清华附近	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3,1513062141813,0,59,1,11,0,49902.0,1,2,72,2,1,10,2,30,0,0,0,2,1,0,1,0,0.4707869213907312,0.7420391586111261,0.7420391586111261,0.9072836011519269,0.9805704719000116,0.9805704719000116,0.6666666666666666,0.8,0.8,0.6666666666666666,0.8,0.8,1,1.0,1.0,,1.0,0.0,0.5,0.5,1,0,2.0
9,168,1701110210,3, 死飞自行车,2,TIMESTAMP=1513062180895	USER=1701110210	TASK=3	QUERY= 死飞自行车	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2,1513062180895,0,59,2,6,0,29773.0,1,1,33,1,1,4,1,68,0,0,0,1,1,1,1,1,0.5307212739772436,0.5473942369675173,0.7109260221420901,0.6128984789428379,0.6359410006766356,0.7112291546316787,0.6666666666666666,0.8,0.7,0.6666666666666666,0.8,0.7,1,3.0,3.0, 死飞自行车 清华附近,0.0,0.6,1.0,1.0,1,0,1.0
