,id,studentID,task_id,query,result_id,result_url,score,content
0,6,2014012759,11, 清华游泳馆,rb_0,http://blog.renren.com/share/1653284050/11973416502,4,TIMESTAMP=1512979310708	USER=2014012759	TASK=11	QUERY= 清华游泳馆	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://blog.renren.com/share/1653284050/11973416502	score=4
1,7,2014012759,4, 行李托运 国际航班,rb_2,http://www.360doc.com/content/13/0402/08/2901197_275434907.shtml,1,TIMESTAMP=1512979510278	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.360doc.com/content/13/0402/08/2901197_275434907.shtml	score=1
2,8,2014012759,4, 行李托运 国际航班 美国,rb_1,http://mp.huizuche.com/ask/6004.html,2,TIMESTAMP=1512979674796	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班 美国	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://mp.huizuche.com/ask/6004.html	score=2
3,9,2014012759,4, 行李托运 国际航班 美国,rb_7,http://ask.qyer.com/question/3371057.html,1,TIMESTAMP=1512979674796	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班 美国	ACTION=ANNOTATION	INFO:	id=rb_7	src=http://ask.qyer.com/question/3371057.html	score=1
4,10,2014012759,4, 行李托运 国际航班,rb_2,http://www.360doc.com/content/13/0402/08/2901197_275434907.shtml,3,TIMESTAMP=1512979890681	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.360doc.com/content/13/0402/08/2901197_275434907.shtml	score=3
5,11,2014012759,1, 破冰游戏 十人,rb_0,http://doc.mbalib.com/view/094192b28718a68e92037d597187a563.html,3,TIMESTAMP=1512980133512	USER=2014012759	TASK=1	QUERY= 破冰游戏 十人	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://doc.mbalib.com/view/094192b28718a68e92037d597187a563.html	score=3
6,12,2014012759,1, 破冰游戏 十人,rb_1,http://www.docin.com/touch/detail.do?id=1329717058,3,TIMESTAMP=1512980133512	USER=2014012759	TASK=1	QUERY= 破冰游戏 十人	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.docin.com/touch/detail.do?id=1329717058	score=3
7,13,2014012759,1, 破冰游戏 十人,rb_5,http://www.tuozhan110.com/tzyx/pbyx/948.html,4,TIMESTAMP=1512980133512	USER=2014012759	TASK=1	QUERY= 破冰游戏 十人	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://www.tuozhan110.com/tzyx/pbyx/948.html	score=4
8,14,2014012759,7, 戒烟,rb_0,http://fyqfs.com/,1,TIMESTAMP=1512980349876	USER=2014012759	TASK=10	QUERY= 戒烟	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://fyqfs.com/	score=1
9,15,2014012759,7, 戒烟,rb_2,http://www.39yst.com/zhuanti/jieyan/,2,TIMESTAMP=1512980349876	USER=2014012759	TASK=10	QUERY= 戒烟	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.39yst.com/zhuanti/jieyan/	score=2
10,16,2014012759,7, 戒烟 好处,rb_1,http://www.jieyanri.com/jieyan/20161229000000.html,4,TIMESTAMP=1512980382656	USER=2014012759	TASK=10	QUERY= 戒烟 好处	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.jieyanri.com/jieyan/20161229000000.html	score=4
11,17,2014012759,7, 戒烟 副作用,rb_1,http://www.ew9z.com/jieyandefuzuoyong.html,4,TIMESTAMP=1512980424763	USER=2014012759	TASK=10	QUERY= 戒烟 副作用	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.ew9z.com/jieyandefuzuoyong.html	score=4
12,18,2014012759,7, 戒烟 方法,rb_1,http://www.jieyanri.com/jieyan/20160413093745.html,4,TIMESTAMP=1512980593099	USER=2014012759	TASK=10	QUERY= 戒烟 方法	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.jieyanri.com/jieyan/20160413093745.html	score=4
13,19,2014012759,10,香港 iPhone,rb_5,http://www.china.com.cn/travel/txt/2010-12/24/content_21608647.htm,2,TIMESTAMP=1512980944245	USER=2014012759	TASK=10	QUERY=香港 iPhone	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://www.china.com.cn/travel/txt/2010-12/24/content_21608647.htm	score=2
14,20,2014012759,8, 谷歌眼镜,rb_0,http://www.hjenglish.com/zt/googleglass/,1,TIMESTAMP=1512981051533	USER=2014012759	TASK=8	QUERY= 谷歌眼镜	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.hjenglish.com/zt/googleglass/	score=1
15,21,2014012759,8, 谷歌眼镜 功能,rb_0,http://www.douban.com/note/322939495/,4,TIMESTAMP=1512981161397	USER=2014012759	TASK=8	QUERY= 谷歌眼镜 功能	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.douban.com/note/322939495/	score=4
16,22,2014012759,3, 北京周边 旅游,rb_4,http://wan.cncn.com/guide_11499.htm,4,TIMESTAMP=1512981387699	USER=2014012759	TASK=3	QUERY= 北京周边 旅游	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://wan.cncn.com/guide_11499.htm	score=4
17,23,2014012759,2, 死飞 自行车,rb_3,http://www.douban.com/group/topic/81869567/,3,TIMESTAMP=1512981490489	USER=2014012759	TASK=2	QUERY= 死飞 自行车	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.douban.com/group/topic/81869567/	score=3
18,24,2014012759,12, 辽宁号 航母,rb_0,http://www.360doc.com/content/15/1227/10/6711903_523406312.shtml,3,TIMESTAMP=1512982194863	USER=2014012759	TASK=12	QUERY= 辽宁号 航母	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.360doc.com/content/15/1227/10/6711903_523406312.shtml	score=3
19,25,2014012759,12, 辽宁号 航母,rb_1,http://hangmu.chinaiiss.com/,2,TIMESTAMP=1512982194863	USER=2014012759	TASK=12	QUERY= 辽宁号 航母	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://hangmu.chinaiiss.com/	score=2
20,26,2014012759,12, 辽宁号 航母,rb_2,http://news.ifeng.com/a/20170509/51062527_0.shtml,1,TIMESTAMP=1512982194863	USER=2014012759	TASK=12	QUERY= 辽宁号 航母	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://news.ifeng.com/a/20170509/51062527_0.shtml	score=1
21,27,2014012759,12, 辽宁号 航母,rb_3,http://zh.wikipedia.org/zh-cn/Talk:è¾½å®å·èªç©ºæ¯è°,1,TIMESTAMP=1512982194863	USER=2014012759	TASK=12	QUERY= 辽宁号 航母	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://zh.wikipedia.org/zh-cn/Talk:è¾½å®å·èªç©ºæ¯è°	score=1
22,72,2017213705,10, iphone6售价,rb_0,http://wap.zol.com.cn/274/273715/index.html,2,TIMESTAMP=1513044792074	USER=2017213705	TASK=10	QUERY= iphone6售价	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://wap.zol.com.cn/274/273715/index.html	score=2
23,73,2017213705,10, iphone6售价,rb_8,http://product.it168.com/detail/doc/671823/index.shtml,4,TIMESTAMP=1513044792074	USER=2017213705	TASK=10	QUERY= iphone6售价	ACTION=ANNOTATION	INFO:	id=rb_8	src=http://product.it168.com/detail/doc/671823/index.shtml	score=4
24,74,2017213705,10,iphone6京东,rb_0,http://www.jb51.net/shouji/226215.html,1,TIMESTAMP=1513044884434	USER=2017213705	TASK=10	QUERY=iphone6京东	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.jb51.net/shouji/226215.html	score=1
25,75,2017213705,10,iphone6京东,rb_1,http://www.newsmth.net/nForum/article/Apple/1011004,1,TIMESTAMP=1513044884434	USER=2017213705	TASK=10	QUERY=iphone6京东	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.newsmth.net/nForum/article/Apple/1011004	score=1
26,76,2017213705,10,iphone6京东,rb_4,http://www.admin5.com/article/20170704/762409.shtml,3,TIMESTAMP=1513044884434	USER=2017213705	TASK=10	QUERY=iphone6京东	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://www.admin5.com/article/20170704/762409.shtml	score=3
27,77,2016310023,7, 戒烟的好处,rb_0,http://www.jieyanri.com/jieyan/20161229000000.html,4,TIMESTAMP=1513045164725	USER=2016310023	TASK=7	QUERY= 戒烟的好处	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.jieyanri.com/jieyan/20161229000000.html	score=4
28,78,2016310023,7, 戒烟的好处,rb_2,http://baike.pcbaby.com.cn/long/33743.html,4,TIMESTAMP=1513045164725	USER=2016310023	TASK=7	QUERY= 戒烟的好处	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://baike.pcbaby.com.cn/long/33743.html	score=4
29,79,2017213705,10,iphone6在香港卖多少钱,rb_0,http://www.to8to.com/ask/k3449213.html,4,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.to8to.com/ask/k3449213.html	score=4
30,80,2017213705,10,iphone6在香港卖多少钱,rb_1,http://www.mafengwo.cn/wenda/detail-2321920.html,4,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://www.mafengwo.cn/wenda/detail-2321920.html	score=4
31,81,2017213705,10,iphone6在香港卖多少钱,rb_2,http://www.mafengwo.cn/wenda/detail-1934682.html,4,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.mafengwo.cn/wenda/detail-1934682.html	score=4
32,82,2017213705,10,iphone6在香港卖多少钱,rb_3,http://news.tootour.com/a/73101.aspx,4,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://news.tootour.com/a/73101.aspx	score=4
33,83,2017213705,10,iphone6在香港卖多少钱,rb_4,http://xl.xkyn.com/zixun-gpcgeagpvqaqnaggqb.htm,1,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://xl.xkyn.com/zixun-gpcgeagpvqaqnaggqb.htm	score=1
34,84,2017213705,10,iphone6在香港卖多少钱,rb_6,http://kuaidi.ping-jia.net/wenti-ithkeadkguddeededu.htm,3,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_6	src=http://kuaidi.ping-jia.net/wenti-ithkeadkguddeededu.htm	score=3
35,85,2017213705,10,iphone6在香港卖多少钱,rb_7,http://xl.xkyn.com/zixun-bnegckpnaenppbpcepk.htm,2,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=ANNOTATION	INFO:	id=rb_7	src=http://xl.xkyn.com/zixun-bnegckpnaenppbpcepk.htm	score=2
