,id,studentID,task_id,query,score,content
0,5,2014012759,11, 清华游泳馆,5,TIMESTAMP=1512979310708	USER=2014012759	TASK=11	QUERY= 清华游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
1,6,2014012759,4, 行李托运 国际航班,3,TIMESTAMP=1512979510278	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
2,7,2014012759,4, 行李托运 国际航班 美国,2,TIMESTAMP=1512979674796	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班 美国	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
3,8,2014012759,4, 行李托运 国际航班,3,TIMESTAMP=1512979890681	USER=2014012759	TASK=4	QUERY= 行李托运 国际航班	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
4,9,2014012759,1, 破冰游戏 十人,5,TIMESTAMP=1512980133512	USER=2014012759	TASK=1	QUERY= 破冰游戏 十人	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
5,10,2014012759,7, 戒烟,3,TIMESTAMP=1512980349876	USER=2014012759	TASK=10	QUERY= 戒烟	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
6,11,2014012759,7, 戒烟 好处,5,TIMESTAMP=1512980382656	USER=2014012759	TASK=10	QUERY= 戒烟 好处	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
7,12,2014012759,7, 戒烟 副作用,5,TIMESTAMP=1512980424763	USER=2014012759	TASK=10	QUERY= 戒烟 副作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
8,13,2014012759,7, 戒烟 方法,4,TIMESTAMP=1512980593099	USER=2014012759	TASK=10	QUERY= 戒烟 方法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
9,14,2014012759,10, 港版 iPhone,3,TIMESTAMP=1512980715123	USER=2014012759	TASK=10	QUERY= 港版 iPhone	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
10,15,2014012759,10,香港 iPhone,3,TIMESTAMP=1512980944245	USER=2014012759	TASK=10	QUERY=香港 iPhone	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
11,16,2014012759,8, 谷歌眼镜,1,TIMESTAMP=1512981051533	USER=2014012759	TASK=8	QUERY= 谷歌眼镜	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
12,17,2014012759,8, 谷歌眼镜 售价,5,TIMESTAMP=1512981078426	USER=2014012759	TASK=8	QUERY= 谷歌眼镜 售价	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
13,18,2014012759,8, 谷歌眼镜 功能,5,TIMESTAMP=1512981161397	USER=2014012759	TASK=8	QUERY= 谷歌眼镜 功能	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
14,19,2014012759,3, 北京周边 旅游,5,TIMESTAMP=1512981387699	USER=2014012759	TASK=3	QUERY= 北京周边 旅游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
15,20,2014012759,2, 死飞 自行车,3,TIMESTAMP=1512981490489	USER=2014012759	TASK=2	QUERY= 死飞 自行车	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
16,21,2014012759,2, 死飞 自行车 购买,4,TIMESTAMP=1512981611128	USER=2014012759	TASK=2	QUERY= 死飞 自行车 购买	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
17,22,2014012759,12, 辽宁号 航母,2,TIMESTAMP=1512982194863	USER=2014012759	TASK=12	QUERY= 辽宁号 航母	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
18,59,2017213705,10, iphone6售价,3,TIMESTAMP=1513044792074	USER=2017213705	TASK=10	QUERY= iphone6售价	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
19,60,2017213705,10,iphone6售价,1,TIMESTAMP=1513044816719	USER=2017213705	TASK=10	QUERY=iphone6售价	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
20,61,2017213705,10,iphone6京东,2,TIMESTAMP=1513044884434	USER=2017213705	TASK=10	QUERY=iphone6京东	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
21,62,2016310023,7, 戒烟的好处,5,TIMESTAMP=1513045164725	USER=2016310023	TASK=7	QUERY= 戒烟的好处	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
22,63,2017213705,10,iphone6在香港卖多少钱,3,TIMESTAMP=1513045189754	USER=2017213705	TASK=10	QUERY=iphone6在香港卖多少钱	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
23,64,2017213705,10,如何在香港购买iphone,3,TIMESTAMP=1513045382320	USER=2017213705	TASK=10	QUERY=如何在香港购买iphone	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
24,65,2016310023,7,戒烟的副作用,4,TIMESTAMP=1513045473406	USER=2016310023	TASK=7	QUERY=戒烟的副作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
25,66,2017213705,10,港版iphone是否支持国内运营商网络,2,TIMESTAMP=1513045522557	USER=2017213705	TASK=10	QUERY=港版iphone是否支持国内运营商网络	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
26,67,2016310023,7,戒烟的方法,5,TIMESTAMP=1513045608926	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
27,68,2016310023,7,戒烟的方法,5,TIMESTAMP=1513045633132	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
28,69,2017213705,10,港版iphone6是否支持国内运营商网络,2,TIMESTAMP=1513045689510	USER=2017213705	TASK=10	QUERY=港版iphone6是否支持国内运营商网络	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
29,70,2017213705,3, 清华 死飞,1,TIMESTAMP=1513045938512	USER=2017213705	TASK=3	QUERY= 清华 死飞	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
30,71,2017213705,3,清华附近,1,TIMESTAMP=1513045952711	USER=2017213705	TASK=3	QUERY=清华附近	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
31,72,2016310023,1, 破冰游戏的玩法,5,TIMESTAMP=1513046075336	USER=2016310023	TASK=1	QUERY= 破冰游戏的玩法	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
32,73,2017213705,3,清华附近自行车,1,TIMESTAMP=1513046041647	USER=2017213705	TASK=3	QUERY=清华附近自行车	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
33,74,2017213705,3,清华买死飞,1,TIMESTAMP=1513046067118	USER=2017213705	TASK=3	QUERY=清华买死飞	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
34,75,2017213705,3,死飞,1,TIMESTAMP=1513046083995	USER=2017213705	TASK=3	QUERY=死飞	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
35,76,2017213705,3,淘宝死飞,2,TIMESTAMP=1513046171605	USER=2017213705	TASK=3	QUERY=淘宝死飞	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
36,77,2017213705,3,买死飞注意事项,2,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
37,78,2016310023,11, 清华大学游泳馆,1,TIMESTAMP=1513046387082	USER=2016310023	TASK=11	QUERY= 清华大学游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
38,79,2016310023,11,清华大学陈明游泳馆,5,TIMESTAMP=1513046464311	USER=2016310023	TASK=11	QUERY=清华大学陈明游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
39,80,2017213705,3,死飞价格区间,2,TIMESTAMP=1513046429135	USER=2017213705	TASK=3	QUERY=死飞价格区间	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
40,81,2017213705,3,北京死飞购买渠道,1,TIMESTAMP=1513046494049	USER=2017213705	TASK=3	QUERY=北京死飞购买渠道	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
41,82,2017213705,4, 赴美航班的行李限制,3,TIMESTAMP=1513046892646	USER=2017213705	TASK=4	QUERY= 赴美航班的行李限制	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
42,83,2016310023,2, 北京周边游,3,TIMESTAMP=1513046969143	USER=2016310023	TASK=2	QUERY= 北京周边游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
43,84,2017213705,4,赴美航班手提行李液体,3,TIMESTAMP=1513046953626	USER=2017213705	TASK=4	QUERY=赴美航班手提行李液体	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
44,85,2017213705,4,赴美航班哪些必须托运,4,TIMESTAMP=1513047126995	USER=2017213705	TASK=4	QUERY=赴美航班哪些必须托运	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
45,86,2017213705,8, 谷歌眼镜,3,TIMESTAMP=1513047315731	USER=2017213705	TASK=8	QUERY= 谷歌眼镜	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
46,87,2017213705,8,谷歌眼镜使用方式,3,TIMESTAMP=1513047376238	USER=2017213705	TASK=8	QUERY=谷歌眼镜使用方式	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
47,88,2016310023,2,北京旅游攻略,4,TIMESTAMP=1513047518889	USER=2016310023	TASK=2	QUERY=北京旅游攻略	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
48,89,2017213705,8,谷歌眼镜售价,3,TIMESTAMP=1513047536433	USER=2017213705	TASK=8	QUERY=谷歌眼镜售价	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
49,90,2017213705,7, 戒烟,4,TIMESTAMP=1513047815232	USER=2017213705	TASK=7	QUERY= 戒烟	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
50,91,2017213705,7,戒烟好处和副作用,3,TIMESTAMP=1513048000801	USER=2017213705	TASK=7	QUERY=戒烟好处和副作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
51,92,2017213705,7,戒烟副作用,4,TIMESTAMP=1513048028822	USER=2017213705	TASK=7	QUERY=戒烟副作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
52,93,2016310023,3, 清华大学附近的自行车行,1,TIMESTAMP=1513048271040	USER=2016310023	TASK=3	QUERY= 清华大学附近的自行车行	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
53,94,2017213705,12, 辽宁号,5,TIMESTAMP=1513048241341	USER=2017213705	TASK=12	QUERY= 辽宁号	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
54,95,2016310023,3,清华大学,1,TIMESTAMP=1513048290399	USER=2016310023	TASK=3	QUERY=清华大学	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
55,96,2016310023,3,清华大学,1,TIMESTAMP=1513048309456	USER=2016310023	TASK=3	QUERY=清华大学	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
56,97,2016310023,3,清华大学,1,TIMESTAMP=1513048354731	USER=2016310023	TASK=3	QUERY=清华大学	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
57,98,2017213705,12,辽宁号的优势和劣势,2,TIMESTAMP=1513048326869	USER=2017213705	TASK=12	QUERY=辽宁号的优势和劣势	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
58,99,2017213705,12,辽宁号的优势,3,TIMESTAMP=1513048377049	USER=2017213705	TASK=12	QUERY=辽宁号的优势	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
59,100,2016310023,3,清华大学贴吧,2,TIMESTAMP=1513048449909	USER=2016310023	TASK=3	QUERY=清华大学贴吧	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
60,101,2016310023,3,清华大学,1,TIMESTAMP=1513048472239	USER=2016310023	TASK=3	QUERY=清华大学	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
61,102,2016310023,3,清华大学,1,TIMESTAMP=1513048491618	USER=2016310023	TASK=3	QUERY=清华大学	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
62,103,2017213705,12,航母的作用,3,TIMESTAMP=1513048460979	USER=2017213705	TASK=12	QUERY=航母的作用	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
63,104,2016310023,3,百度地图,2,TIMESTAMP=1513048593640	USER=2016310023	TASK=3	QUERY=百度地图	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
64,105,2016310023,3,咸鱼,2,TIMESTAMP=1513048793532	USER=2016310023	TASK=3	QUERY=咸鱼	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
65,106,2017213705,2, 北京周边5日游,2,TIMESTAMP=1513048858650	USER=2017213705	TASK=2	QUERY= 北京周边5日游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=2
66,107,2017213705,2,驴妈妈北京5日游,3,TIMESTAMP=1513048880288	USER=2017213705	TASK=2	QUERY=驴妈妈北京5日游	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=3
67,108,2016310023,3,天猫,5,TIMESTAMP=1513049048793	USER=2016310023	TASK=3	QUERY=天猫	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
68,109,2016310023,3,58同城,5,TIMESTAMP=1513049130542	USER=2016310023	TASK=3	QUERY=58同城	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
69,110,2016310023,3,死飞自行车的购买注意事项,4,TIMESTAMP=1513049278893	USER=2016310023	TASK=3	QUERY=死飞自行车的购买注意事项	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
70,111,2017213705,11, 清华大学游泳馆,1,TIMESTAMP=1513049342008	USER=2017213705	TASK=11	QUERY= 清华大学游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=1
71,112,2017213705,11,清华大学陈明游泳馆,4,TIMESTAMP=1513049425506	USER=2017213705	TASK=11	QUERY=清华大学陈明游泳馆	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
72,113,2016310023,10, 苹果香港,5,TIMESTAMP=1513049672938	USER=2016310023	TASK=10	QUERY= 苹果香港	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
73,114,2017213705,1,十人参与的破冰游戏,4,TIMESTAMP=1513049784516	USER=2017213705	TASK=1	QUERY=十人参与的破冰游戏	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=4
74,115,2016310023,10,京东,5,TIMESTAMP=1513049945036	USER=2016310023	TASK=10	QUERY=京东	ACTION=QUERY_SATISFACTION_ANNOTATION	INFO:	score=5
