SessionID,TopicNumber,TopicProduct,TopicGoal,TaskType,Query,QueryOrder,QueryLen,QueryDwellTime,NumClickedPage,NumClickedDoc,NumKeyDoc,NumRelevantDoc,AveDwellTime,TotalDwellTime,AveClickRank,ClickDepth,SearchEngineDwellTime,ClickPrecision,TimetoFirstLastClick,ReciproalRank,ratiofirstclick
1,9,factual,amorphous,known-subject,bollywood growth,1,2,16.4747,0,0,0,0,,0,,,16.4747,,16.4747,0,1
1,9,factual,amorphous,known-subject,bollywood growth politics,2,3,28.9562,0,0,0,0,,0,,,28.9562,,28.9562,0,1
1,9,factual,amorphous,known-subject,bollywood policies and legislation,3,4,19.8979,0,0,0,0,,0,,,19.8979,,19.8979,0,1
1,9,factual,amorphous,known-subject,bollywood policies,4,2,23.2538,0,0,0,0,,0,,,23.2538,,23.2538,0,1
1,9,factual,amorphous,known-subject,bollywood policies growth,5,3,28.9651,0,0,0,0,,0,,,28.9651,,28.9651,0,1
1,9,factual,amorphous,known-subject,bollywood government,6,2,43.4836,0,1,0,0,31.4022,31.4022,2,2,12.0814,0,31.4022,0,0.722161919
2,19,intellectual,amorphous,exploratory,Pocono Mountains vacation,1,3,28.5119,0,1,0,0,20.7541,20.7541,1,1,7.7578,0,20.7541,0,0.727910101
2,19,intellectual,amorphous,exploratory,Pocono Mountains trip,2,3,29.7215,0,0,0,0,,0,,,29.7215,,29.7215,0,1
2,19,intellectual,amorphous,exploratory,Pocono Mountains,3,2,11.2187,10,0,0,0,,0,,,11.2187,,11.2187,0,1
2,19,intellectual,amorphous,exploratory,what do to in the Pocono Mountains,4,7,74.1483,30,0,0,0,,0,,,74.1483,,74.1483,0,1
3,10,intellectual,amorphous,exploratory,junk food trax,1,3,6.1361,0,0,0,0,,0,,,6.1361,,6.1361,0,1
3,10,intellectual,amorphous,exploratory,junk food tax,2,3,85.2835,0,3,0,2,25.54443333,76.6333,4,6,8.6502,0.666666667,76.6333,0,0.898571236
3,10,intellectual,amorphous,exploratory,junk food tax pros,3,4,46.5649,0,4,0,0,3.809075,15.2363,3.5,5,31.3286,0,15.2363,0,0.327205685
4,25,intellectual,specific,interpretive,dehumidifiers,1,1,91.6606,0,1,1,1,87.833,87.833,1,1,3.8276,1,87.833,1,0.9582416
5,52,intellectual,specific,interpretive,health care in UK,1,4,33.5915,0,0,0,0,,0,,,33.5915,,33.5915,0,1
5,52,intellectual,specific,interpretive,social security in UK,2,4,19.4409,0,0,0,0,,0,,,19.4409,,19.4409,0,1
5,52,intellectual,specific,interpretive,US and UK safety nets,3,5,28.0404,0,0,0,0,,0,,,28.0404,,28.0404,0,1
6,8,factual,specific,known-item,kursk sink,1,2,13.1529,0,0,0,0,,0,,,13.1529,,13.1529,0,1
6,8,factual,specific,known-item,kursk  sub,2,2,16.6875,0,1,0,0,11.8705,11.8705,1,1,4.817,0,11.8705,0,0.711340824
