,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,segment_id,SessionID,topic_id,query,QueryOrder,segment_starttime,session_end_time,ClickCount,RelDocCount,KeyDocCount,TotalContent,AveClickRank,ClickDepth,Clicks@3,Clicks@5,Clicks@5+,segment_endtime,isSessionEnd,QueryDwellTime,SERPtime,AvgContent,click_precision,time_to_first_last_click,QueryLength,RR,time_first_click,ratio_first_click,AvgRelScore,irrelevant_docs_30num,last_query,NewTerm,QuerySim,dcg3,dcg5,dcg10,nDCG@3,nDCG@5,nDCG@10,Precision@3,Precision@5,Precision@10,QueryLength_peak,QueryLength_ave,QueryLength_end,QueryDwellTime_peak,QueryDwellTime_ave,QueryDwellTime_end,NewTerm_peak,NewTerm_ave,NewTerm_end,QuerySim_peak,QuerySim_ave,QuerySim_end,ClickCount_peak,ClickCount_ave,ClickCount_end,KeyDocCount_peak,KeyDocCount_ave,KeyDocCount_end,RelDocCount_peak,RelDocCount_ave,RelDocCount_end,AvgContent_peak,AvgContent_ave,AvgContent_end,TotalContent_peak,TotalContent_ave,TotalContent_end,AveClickRank_peak,AveClickRank_ave,AveClickRank_end,ClickDepth_peak,ClickDepth_ave,ClickDepth_end,SERPtime_peak,SERPtime_ave,SERPtime_end,RR_peak,RR_ave,RR_end,Clicks@3_peak,Clicks@3_ave,Clicks@3_end,Clicks@5_peak,Clicks@5_ave,Clicks@5_end,Clicks@5+_peak,Clicks@5+_ave,Clicks@5+_end,nDCG@3_peak,nDCG@3_ave,nDCG@3_end,nDCG@5_peak,nDCG@5_ave,nDCG@5_end,nDCG@10_peak,nDCG@10_ave,nDCG@10_end,Precision@3_peak,Precision@3_ave,Precision@3_end,Precision@5_peak,Precision@5_ave,Precision@5_end,Precision@10_peak,Precision@10_ave,Precision@10_end,AvgRelScore_peak,AvgRelScore_ave,AvgRelScore_end,delta_QueryDwellTime,delta_AvgRelScore,delta_Clicks@5,delta_ClickDepth,QueryLength_reference1,QueryDwellTime_reference1,NewTerm_reference1,QuerySim_reference1,ClickCount_reference1,KeyDocCount_reference1,RelDocCount_reference1,AvgContent_reference1,TotalContent_reference1,AveClickRank_reference1,ClickDepth_reference1,SERPtime_reference1,RR_reference1,Clicks@3_reference1,Clicks@5_reference1,Clicks@5+_reference1,nDCG@3_reference1,nDCG@5_reference1,nDCG@10_reference1,Precision@3_reference1,Precision@5_reference1,Precision@10_reference1,AvgRelScore_reference1,QueryLength_reference2,QueryDwellTime_reference2,NewTerm_reference2,QuerySim_reference2,ClickCount_reference2,KeyDocCount_reference2,RelDocCount_reference2,AvgContent_reference2,TotalContent_reference2,AveClickRank_reference2,ClickDepth_reference2,SERPtime_reference2,RR_reference2,Clicks@3_reference2,Clicks@5_reference2,Clicks@5+_reference2,nDCG@3_reference2,nDCG@5_reference2,nDCG@10_reference2,Precision@3_reference2,Precision@5_reference2,Precision@10_reference2,AvgRelScore_reference2,QueryLength_reference3,QueryDwellTime_reference3,NewTerm_reference3,QuerySim_reference3,ClickCount_reference3,KeyDocCount_reference3,RelDocCount_reference3,AvgContent_reference3,TotalContent_reference3,AveClickRank_reference3,ClickDepth_reference3,SERPtime_reference3,RR_reference3,Clicks@3_reference3,Clicks@5_reference3,Clicks@5+_reference3,nDCG@3_reference3,nDCG@5_reference3,nDCG@10_reference3,Precision@3_reference3,Precision@5_reference3,Precision@10_reference3,AvgRelScore_reference3,QueryLength_reference4,QueryDwellTime_reference4,NewTerm_reference4,QuerySim_reference4,ClickCount_reference4,KeyDocCount_reference4,RelDocCount_reference4,AvgContent_reference4,TotalContent_reference4,AveClickRank_reference4,ClickDepth_reference4,SERPtime_reference4,RR_reference4,Clicks@3_reference4,Clicks@5_reference4,Clicks@5+_reference4,nDCG@3_reference4,nDCG@5_reference4,nDCG@10_reference4,Precision@3_reference4,Precision@5_reference4,Precision@10_reference4,AvgRelScore_reference4,QueryLength_reference5,QueryDwellTime_reference5,NewTerm_reference5,QuerySim_reference5,ClickCount_reference5,KeyDocCount_reference5,RelDocCount_reference5,AvgContent_reference5,TotalContent_reference5,AveClickRank_reference5,ClickDepth_reference5,SERPtime_reference5,RR_reference5,Clicks@3_reference5,Clicks@5_reference5,Clicks@5+_reference5,nDCG@3_reference5,nDCG@5_reference5,nDCG@10_reference5,Precision@3_reference5,Precision@5_reference5,Precision@10_reference5,AvgRelScore_reference5
0,0,0,0,1,1,1,US civil war causes,1,99.39600300000001,170.43276799999995,1,0,0,9.088831999999996,1.0,1.0,1.0,1.0,0.0,170.43276799999995,1,71.03676500000002,61.94793300000002,9.088831999999996,0.0,9.088831999999996,19,11,143.512957,2.0202631271286067,0.0,0,,1.0,0.0,,,,0.0,0.0,1.0913291693220692,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,2,2,2,scooter brands,1,79.932316,702.515041,2,1,0,74.46181700000002,5.666666666666668,6.0,0.0,1.0,1.0,229.26272000000003,0,149.33040400000004,74.86858699999998,37.23090850000001,0.5,74.46181700000002,14,11,111.71770900000001,0.7481243337425111,0.3333333333333333,1,,1.0,0.0,,,,0.0,0.3836491390379003,0.5249161118977292,0.0,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,3,2,2,scooter brands reliable,2,229.26272000000003,702.515041,1,0,0,13.55684500000001,32.0,32.0,0.0,0.0,0.0,259.409574,0,30.14685400000002,16.59000900000001,13.55684500000001,0.0,13.55684500000001,23,11,245.852729,8.155170320591324,0.0,0,scooter brands,0.3333333333333333,0.6666666666666666,,,,0.4692787260227566,0.3391602052736162,0.3621108234757073,0.3333333333333333,0.2,0.3,14.0,14.0,14.0,149.33040400000004,149.33040400000004,149.33040400000004,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,37.23090850000001,37.23090850000001,37.23090850000001,74.46181700000002,74.46181700000002,74.46181700000002,5.666666666666668,5.666666666666668,5.666666666666668,6.0,6.0,6.0,74.86858699999998,74.86858699999998,74.86858699999998,11.0,11.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3836491390379003,0.3836491390379003,0.3836491390379003,0.5249161118977292,0.5249161118977292,0.5249161118977292,0.0,0.0,0.0,0.4,0.4,0.4,0.3,0.3,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,119.18355000000004,0.3333333333333333,1.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,4,2,2,scooter,3,259.409574,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,303.478829,0,44.069255,44.069255,0.0,0.0,0.0,7,11,,1.0,0.0,0,scooter brands reliable,0.0,0.3333333333333333,0.0,0.43067655807339306,2.023307065506692,0.0,0.0944133554388426,0.4435514437845287,0.0,0.2,0.4,23.0,18.5,23.0,149.33040400000004,89.73862900000002,30.14685400000002,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,1.5,1.0,0.0,0.0,0.0,1.0,0.5,0.0,37.23090850000001,25.39387675000001,13.55684500000001,74.46181700000002,44.00933100000002,13.55684500000001,32.0,18.833333333333336,32.0,32.0,19.0,32.0,74.86858699999998,45.72929799999999,16.59000900000001,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.4692787260227566,0.2346393630113783,0.4692787260227566,0.3836491390379003,0.3614046721557582,0.3391602052736162,0.5249161118977292,0.4435134676867183,0.3621108234757073,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.4,0.30000000000000004,0.2,0.3,0.3,0.3,0.3333333333333333,0.16666666666666666,0.0,-13.922400999999981,0.0,0.0,32.0,9.0,-119.18355000000003,-0.6666666666666667,0.6666666666666666,-1.0,0.0,-1.0,-23.674063500000003,-60.904972000000015,26.333333333333332,26.0,-58.27857799999997,0.0,0.0,-1.0,-1.0,0.4692787260227566,-0.044488933764284144,-0.16280528842202197,0.3333333333333333,-0.2,0.0,-0.3333333333333333,9.0,-119.18355000000003,-0.6666666666666667,0.6666666666666666,-1.0,0.0,-1.0,-23.674063500000003,-60.904972000000015,26.333333333333332,26.0,-58.27857799999997,0.0,0.0,-1.0,-1.0,0.4692787260227566,-0.044488933764284144,-0.16280528842202197,0.3333333333333333,-0.2,0.0,-0.3333333333333333,9.0,-119.18355000000003,-0.6666666666666667,0.6666666666666666,-1.0,0.0,-1.0,-23.674063500000003,-60.904972000000015,26.333333333333332,26.0,-58.27857799999997,0.0,0.0,-1.0,-1.0,0.4692787260227566,-0.044488933764284144,-0.16280528842202197,0.3333333333333333,-0.2,0.0,-0.3333333333333333,9.0,-119.18355000000003,-0.6666666666666667,0.6666666666666666,-1.0,0.0,-1.0,-23.674063500000003,-60.904972000000015,26.333333333333332,26.0,-58.27857799999997,0.0,0.0,-1.0,-1.0,0.4692787260227566,-0.044488933764284144,-0.16280528842202197,0.3333333333333333,-0.2,0.0,-0.3333333333333333,9.0,-119.18355000000003,-0.6666666666666667,0.6666666666666666,-1.0,0.0,-1.0,-23.674063500000003,-60.904972000000015,26.333333333333332,26.0,-58.27857799999997,0.0,0.0,-1.0,-1.0,0.4692787260227566,-0.044488933764284144,-0.16280528842202197,0.3333333333333333,-0.2,0.0,-0.3333333333333333
4,4,4,4,5,2,2,scooter cheap,4,303.478829,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,338.9785990000001,0,35.499769999999955,35.499769999999955,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter,0.5,0.5,2.5,3.3175293653079345,4.912629584516886,0.6051906348295047,0.6704166459920575,0.7854558950002614,0.6666666666666666,0.8,0.9,23.0,14.666666666666664,7.0,149.33040400000004,74.51550433333334,44.069255,1.0,0.4444444444444444,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,37.23090850000001,16.929251166666674,0.0,74.46181700000002,29.33955400000001,0.0,32.0,16.222222222222225,11.0,32.0,12.666666666666664,0.0,74.86858699999998,45.17595033333333,44.069255,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.4692787260227566,0.15642624200758554,0.0,0.3836491390379003,0.27240756658345305,0.0944133554388426,0.5249161118977292,0.4435261263859884,0.4435514437845287,0.3333333333333333,0.1111111111111111,0.0,0.4,0.26666666666666666,0.2,0.4,0.3333333333333333,0.4,0.3333333333333333,0.1111111111111111,0.0,8.569485000000043,0.0,0.0,0.0,-7.0,-105.26114900000005,-1.0,0.3333333333333333,-2.0,0.0,-1.0,-37.23090850000001,-74.46181700000002,5.333333333333332,-6.0,-30.79933199999998,0.0,0.0,-1.0,-1.0,0.0,-0.2892357835990577,-0.08136466811320053,0.0,-0.2,0.10000000000000003,-0.3333333333333333,-16.0,-105.26114900000005,-1.0,-0.3333333333333333,-2.0,0.0,-1.0,-37.23090850000001,-74.46181700000002,-21.0,-32.0,-30.79933199999998,0.0,0.0,-1.0,-1.0,-0.4692787260227566,-0.2892357835990577,-0.08136466811320053,-0.3333333333333333,-0.2,0.10000000000000003,-0.3333333333333333,-11.5,-45.66937400000003,-0.6666666666666666,0.0,-1.5,0.0,-0.5,-25.39387675000001,-44.00933100000002,-7.833333333333336,-19.0,-1.6600429999999946,0.0,0.0,-0.5,-0.5,-0.2346393630113783,-0.2669913167169156,3.797609781042155e-05,-0.16666666666666666,-0.10000000000000003,0.10000000000000003,-0.16666666666666666,-16.0,13.92240099999998,-0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.0,-13.55684500000001,-13.55684500000001,-21.0,-32.0,27.47924599999999,0.0,0.0,0.0,0.0,-0.4692787260227566,-0.24474684983477357,0.08144062030882143,-0.3333333333333333,0.0,0.10000000000000003,0.0,-16.0,-45.66937400000003,-0.6666666666666666,-0.3333333333333333,-1.5,0.0,-0.5,-25.39387675000001,-44.00933100000002,-21.0,-32.0,-1.6600429999999946,0.0,0.0,-0.5,-0.5,-0.4692787260227566,-0.2669913167169156,3.797609781042155e-05,-0.3333333333333333,-0.10000000000000003,0.10000000000000003,-0.16666666666666666
5,5,5,5,6,2,2,scooter review,5,338.9785990000001,702.515041,1,2,0,208.27765800000003,4.0,4.0,0.0,1.0,0.0,623.642152,0,284.6635530000001,76.38589499999998,208.27765800000003,2.0,208.27765800000003,14,11,415.364494,1.4591418171472057,1.0,0,scooter cheap,0.3333333333333333,0.3333333333333333,,,,1.0,0.8687949224876582,0.9670943502702471,1.0,0.8,0.8,23.0,14.25,13.0,149.33040400000004,64.76157075,35.499769999999955,1.0,0.4583333333333333,0.5,0.6666666666666666,0.375,0.5,2.0,0.75,0.0,0.0,0.0,0.0,1.0,0.25,0.0,37.23090850000001,12.696938375000006,0.0,74.46181700000002,22.00466550000001,0.0,32.0,14.916666666666668,11.0,32.0,9.5,0.0,74.86858699999998,42.75690524999999,35.499769999999955,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,0.25,0.0,0.6051906348295047,0.2686173402130653,0.6051906348295047,0.6704166459920575,0.37190983643560416,0.6704166459920575,0.7854558950002614,0.5290085685395567,0.7854558950002614,0.6666666666666666,0.25,0.6666666666666666,0.8,0.4,0.8,0.9,0.475,0.9,0.3333333333333333,0.08333333333333333,0.0,-249.1637830000001,-1.0,-1.0,-4.0,-1.0,-113.83063400000009,-0.5,0.5,-2.0,0.0,-1.0,-37.23090850000001,-74.46181700000002,5.333333333333332,-6.0,-39.36881700000002,0.0,0.0,-1.0,-1.0,0.6051906348295047,0.2867675069541572,0.2605397831025321,0.6666666666666666,0.4,0.6000000000000001,-0.3333333333333333,-10.0,-113.83063400000009,-0.5,-0.16666666666666663,-2.0,0.0,-1.0,-37.23090850000001,-74.46181700000002,-21.0,-32.0,-39.36881700000002,0.0,0.0,-1.0,-1.0,0.13591190880674814,0.2867675069541572,0.2605397831025321,0.3333333333333333,0.4,0.5,-0.3333333333333333,-1.666666666666666,-39.0157343333334,0.05555555555555558,0.16666666666666669,-1.0,0.0,-0.3333333333333333,-16.929251166666674,-29.33955400000001,-5.222222222222225,-12.666666666666666,-9.676180333333377,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.4487643928219192,0.39800907940860447,0.34192976861427293,0.5555555555555556,0.5333333333333334,0.5666666666666667,-0.1111111111111111,6.0,-8.569485000000043,0.5,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.569485000000043,0.0,0.0,0.0,0.0,0.6051906348295047,0.5760032905532149,0.34190445121573265,0.6666666666666666,0.6000000000000001,0.5,0.0,-2.0,-61.200059500000066,0.0,0.0,-1.0,0.0,-0.5,-18.615454250000006,-37.23090850000001,-10.5,-16.0,-23.969151000000032,0.0,0.0,-0.5,-0.5,0.3705512718181264,0.4313853987536861,0.3012221171591324,0.5,0.5,0.5,-0.16666666666666666
6,6,6,6,7,2,2,scooter price,6,623.642152,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,645.962243,0,22.320090999999934,22.320090999999934,0.0,0.0,0.0,13,11,,1.0,0.0,0,scooter review,0.3333333333333333,0.3333333333333333,2.1309297535714573,2.9484591188793923,3.939029634984729,1.0,1.0,0.9963488021549354,1.0,1.0,0.8,23.0,14.2,14.0,284.6635530000001,108.74196720000002,284.6635530000001,1.0,0.4333333333333333,0.3333333333333333,0.6666666666666666,0.3666666666666665,0.3333333333333333,2.0,0.8,1.0,0.0,0.0,0.0,2.0,0.6,2.0,208.27765800000003,51.81308230000001,208.27765800000003,208.27765800000003,59.25926400000001,208.27765800000003,32.0,12.733333333333334,4.0,32.0,8.4,4.0,76.38589499999998,49.48270319999999,76.38589499999998,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,0.2,0.0,1.0,0.4148938721704523,1.0,0.8687949224876582,0.471286853646015,0.8687949224876582,0.9670943502702471,0.6166257248856948,0.9670943502702471,1.0,0.4,1.0,0.8,0.4800000000000001,0.8,0.9,0.54,0.8,1.0,0.26666666666666666,1.0,262.34346200000016,1.0,1.0,4.0,0.0,135.33314900000005,-0.6666666666666667,0.3333333333333333,-1.0,0.0,1.0,171.04674950000003,133.815841,-1.6666666666666679,-2.0,1.5173079999999999,0.0,0.0,0.0,-1.0,1.0,0.4851457834497579,0.4421782383725179,1.0,0.4,0.5,0.6666666666666667,-9.0,135.33314900000005,-0.6666666666666667,-0.3333333333333333,-1.0,0.0,1.0,171.04674950000003,133.815841,-28.0,-28.0,1.5173079999999999,0.0,0.0,0.0,-1.0,0.39480936517049525,0.1983782764956007,0.1816384552699858,0.33333333333333337,0.0,-0.09999999999999998,0.6666666666666667,-0.25,219.9019822500001,-0.125,-0.041666666666666685,0.25,0.0,1.75,195.58071962500003,186.27299250000002,-10.916666666666668,-5.5,33.62898974999999,0.0,0.0,0.75,-0.25,0.7313826597869346,0.49688508605205406,0.43808578173069046,0.75,0.4,0.32500000000000007,0.9166666666666666,1.0,249.16378300000014,-0.16666666666666669,-0.16666666666666669,1.0,0.0,2.0,208.27765800000003,208.27765800000003,-7.0,4.0,40.88612500000002,0.0,0.0,1.0,0.0,0.39480936517049525,0.1983782764956007,0.1816384552699858,0.33333333333333337,0.0,-0.09999999999999998,1.0,-4.0,192.2484660000001,-0.4166666666666667,-0.24999999999999994,0.0,0.0,1.5,189.66220375000003,171.04674950000003,-17.5,-12.0,21.20171650000001,0.0,0.0,0.5,-0.5,0.39480936517049525,0.1983782764956007,0.1816384552699858,0.33333333333333337,0.0,-0.09999999999999998,0.8333333333333334
7,7,7,7,8,2,2,scooter price,7,645.962243,702.515041,1,1,0,33.604768000000035,1.0,1.0,1.0,1.0,0.0,690.053255,0,44.091012000000106,10.486244000000058,33.604768000000035,1.0,33.604768000000035,13,11,656.448487,14.88848763552986,1.0,0,scooter price,0.0,1.0,,,,1.0,1.0,0.9963488021549354,1.0,1.0,0.8,23.0,14.0,13.0,284.6635530000001,94.33832116666667,22.320090999999934,1.0,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.3611111111111111,0.3333333333333333,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.5,0.0,208.27765800000003,43.17756858333334,0.0,208.27765800000003,49.382720000000006,0.0,32.0,12.444444444444445,11.0,32.0,7.0,0.0,76.38589499999998,44.95560116666665,22.320090999999934,11.0,11.0,11.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,0.16666666666666666,0.0,1.0,0.5124115601420436,1.0,1.0,0.5594057113716792,1.0,0.9963488021549354,0.6799129044305682,0.9963488021549354,1.0,0.5,1.0,1.0,0.5666666666666668,1.0,0.9,0.5833333333333334,0.8,1.0,0.2222222222222222,0.0,-21.77092100000017,-1.0,-1.0,-1.0,-1.0,-127.01031300000011,-0.6666666666666667,0.3333333333333333,-2.0,0.0,-1.0,-37.23090850000001,-74.46181700000002,5.333333333333332,-6.0,-52.54849600000004,0.0,0.0,-1.0,-1.0,1.0,0.6163508609620997,0.47143269025720613,1.0,0.6,0.5,-0.3333333333333333,-10.0,-262.34346200000016,-0.6666666666666667,-0.3333333333333333,-2.0,0.0,-2.0,-208.27765800000003,-208.27765800000003,-21.0,-32.0,-54.06580400000004,0.0,0.0,-1.0,-1.0,0.0,0.13120507751234178,0.029254451884688226,0.0,0.19999999999999996,-0.09999999999999998,-1.0,-1.1999999999999993,-86.42187620000009,-0.09999999999999998,-0.033333333333333326,-0.8,0.0,-0.6,-51.813082300000005,-59.25926400000001,-1.7333333333333343,-8.4,-27.162612200000055,0.0,0.0,-0.4,-0.2,0.5851061278295477,0.528713146353985,0.3797230772692406,0.6,0.5199999999999999,0.26,-0.26666666666666666,-1.0,-262.34346200000016,0.0,0.0,-1.0,0.0,-2.0,-208.27765800000003,-208.27765800000003,7.0,-4.0,-54.06580400000004,0.0,0.0,-1.0,0.0,0.0,0.13120507751234178,0.029254451884688226,0.0,0.19999999999999996,0.0,-1.0,-5.5,-262.34346200000016,-0.3333333333333333,-0.16666666666666669,-1.5,0.0,-2.0,-208.27765800000003,-208.27765800000003,-7.0,-18.0,-54.06580400000004,0.0,0.0,-1.0,-0.5,0.0,0.13120507751234178,0.029254451884688226,0.0,0.19999999999999996,-0.050000000000000044,-1.0
8,8,8,8,9,2,2,scooter stores,8,690.053255,702.515041,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,702.515041,1,12.461785999999965,12.461785999999965,0.0,0.0,0.0,14,11,,1.0,0.0,0,scooter price,0.3333333333333333,0.3333333333333333,0.5,0.5,0.8154648767857287,0.30657359638272924,0.30657359638272924,0.5,0.3333333333333333,0.2,0.2,23.0,13.857142857142858,13.0,284.6635530000001,87.16013414285715,44.091012000000106,1.0,0.35714285714285715,0.0,1.0,0.4523809523809524,1.0,2.0,0.7142857142857143,1.0,0.0,0.0,0.0,2.0,0.5714285714285714,1.0,208.27765800000003,41.810025642857156,33.604768000000035,208.27765800000003,47.128726857142865,33.604768000000035,32.0,10.809523809523812,1.0,32.0,6.142857142857142,1.0,76.38589499999998,40.03140728571428,10.486244000000058,11.0,11.0,11.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,1.0,1.0,0.14285714285714285,0.0,1.0,0.5820670515503231,1.0,1.0,0.6223477526042964,1.0,0.9963488021549354,0.7251180326769064,0.9963488021549354,1.0,0.5714285714285714,1.0,1.0,0.6285714285714287,1.0,0.9,0.6142857142857142,0.8,1.0,0.3333333333333333,1.0,31.629226000000138,1.0,1.0,1.0,-1.0,-105.23939199999994,-1.0,1.0,-1.0,0.0,0.0,-3.626140499999977,-40.85704899999999,-4.666666666666668,-5.0,-64.38234299999992,0.0,1.0,0.0,-1.0,1.0,0.6163508609620997,0.47143269025720613,1.0,0.6,0.5,0.6666666666666667,-10.0,-240.572541,-1.0,0.33333333333333337,-1.0,0.0,-1.0,-174.67289,-174.67289,-31.0,-31.0,-65.89965099999992,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,-1.0,-50.24730916666657,-0.4166666666666667,0.6388888888888888,0.33333333333333337,0.0,0.5,-9.572800583333304,-15.77795199999997,-11.444444444444445,-6.0,-34.46935716666659,0.0,1.0,0.6666666666666667,-0.16666666666666666,0.4875884398579564,0.44059428862832084,0.3164358977243672,0.5,0.43333333333333324,0.21666666666666667,0.7777777777777778,0.0,21.770921000000172,-0.3333333333333333,0.6666666666666667,1.0,0.0,1.0,33.604768000000035,33.604768000000035,-10.0,1.0,-11.833846999999876,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-109.40080999999991,-0.6666666666666666,0.5,0.0,0.0,0.0,-70.53406099999998,-70.53406099999998,-20.5,-15.0,-38.8667489999999,0.0,1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,0.5
9,9,9,9,10,3,6,heart attack causes,1,40.173524,106.66824799999999,0,0,0,0.0,11.0,0.0,0.0,0.0,0.0,62.943893,0,22.770369,22.770369,0.0,0.0,0.0,19,11,,1.0,0.0,0,,1.0,0.0,1.5,2.3175293653079345,3.912629584516888,0.7039180890341348,0.7860137352654725,0.9196461703481418,0.6666666666666666,0.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
